§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\n_\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Darin ist die Treulichkeit.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\n_\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Von alters bis heute
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\n_\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Ward sein Name nicht aufgehoben,
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\n_\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\nDurch dieses.\n	Um damit den Vater von allen Dingen zu deuten.
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\n_\nDes Vaters von allen Dingen?\nDurch dieses.\n	Und woher kenn Ich das Walten
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\n_\nDurch dieses.\n	Des Vaters von allen Dingen?
§49\n\nDer tiefsten Tugend Gebaren,\nEs folgt allein dem *Wege*.\nDer *Weg* als ein Wesen\nIst ein Brauen, ein Glosen.\nO Glosen, o Brauen!\nDarin sind die Bilder.\nO Brauen, o Glosen!\nDarin sind die Wesen.\nO Dunkel, versunken!\nDarin sind die Samen.\nDie Samen sind Wahrheit;\nDarin ist die Treulichkeit.\nVon alters bis heute\nWard sein Name nicht aufgehoben,\nUm damit den Vater von allen Dingen zu deuten.\nUnd woher kenn Ich das Walten\nDes Vaters von allen Dingen?\n_\n	Durch dieses.
§50\n\n_\nWas gebeugt ist, wird aufgerichtet;\nWas hohl ist, wird ausgefüllt;\nWas zerschlissen, wird neu gemacht.\nMit wenigem wirst du bekommen;\nMit vielem bist du beklommen.\n	Was krumm ist, wird heil gemacht;
§50\n\nWas krumm ist, wird heil gemacht;\n_\nWas hohl ist, wird ausgefüllt;\nWas zerschlissen, wird neu gemacht.\nMit wenigem wirst du bekommen;\nMit vielem bist du beklommen.\n	Was gebeugt ist, wird aufgerichtet;
§50\n\nWas krumm ist, wird heil gemacht;\nWas gebeugt ist, wird aufgerichtet;\n_\nWas zerschlissen, wird neu gemacht.\nMit wenigem wirst du bekommen;\nMit vielem bist du beklommen.\n	Was hohl ist, wird ausgefüllt;
§50\n\nWas krumm ist, wird heil gemacht;\nWas gebeugt ist, wird aufgerichtet;\nWas hohl ist, wird ausgefüllt;\n_\nMit wenigem wirst du bekommen;\nMit vielem bist du beklommen.\n	Was zerschlissen, wird neu gemacht.
§50\n\nWas krumm ist, wird heil gemacht;\nWas gebeugt ist, wird aufgerichtet;\nWas hohl ist, wird ausgefüllt;\nWas zerschlissen, wird neu gemacht.\n_\nMit vielem bist du beklommen.\n	Mit wenigem wirst du bekommen;
§50\n\nWas krumm ist, wird heil gemacht;\nWas gebeugt ist, wird aufgerichtet;\nWas hohl ist, wird ausgefüllt;\nWas zerschlissen, wird neu gemacht.\nMit wenigem wirst du bekommen;\n_\n	Mit vielem bist du beklommen.
§51\n\n_\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Deshalb der Heilige Mensch:
§51\n\nDeshalb der Heilige Mensch:\n_\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Wenn er das Eine umfaßt,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\n_\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Wird er zum Richtmaß dem Reich.
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\n_\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Weil er sich selbst nicht sieht,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\n_\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Darum ist er erleuchtet;
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\n_\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Weil er sich selbst nicht recht gibt,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\n_\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Darum ist er anerkannt;
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\n_\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Weil er sich selbst nicht aufspielt,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\n_\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Darum hat er Verdienst;
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\n_\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Weil er sich selbst nicht rühmt,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\n_\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Darum wird er erhöht.
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\n_\nDarum vermag niemand im Reich,\nMit ihm zu streiten.\n	Wohl! Eben weil er nicht streitet,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\n_\nMit ihm zu streiten.\n	Darum vermag niemand im Reich,
§51\n\nDeshalb der Heilige Mensch:\nWenn er das Eine umfaßt,\nWird er zum Richtmaß dem Reich.\nWeil er sich selbst nicht sieht,\nDarum ist er erleuchtet;\nWeil er sich selbst nicht recht gibt,\nDarum ist er anerkannt;\nWeil er sich selbst nicht aufspielt,\nDarum hat er Verdienst;\nWeil er sich selbst nicht rühmt,\nDarum wird er erhöht.\nWohl! Eben weil er nicht streitet,\nDarum vermag niemand im Reich,\n_\n	Mit ihm zu streiten.
§52\n\n_\n»Was krumm ist, wird heil gemacht«,\nSo sind das keine leeren Worte gewesen!\nZum wahrhaft Heilen kehrt man sich hin.\n	Wenn die Alten sagten:
§52\n\nWenn die Alten sagten:\n_\nSo sind das keine leeren Worte gewesen!\nZum wahrhaft Heilen kehrt man sich hin.\n	»Was krumm ist, wird heil gemacht«,
§52\n\nWenn die Alten sagten:\n»Was krumm ist, wird heil gemacht«,\n_\nZum wahrhaft Heilen kehrt man sich hin.\n	So sind das keine leeren Worte gewesen!
§52\n\nWenn die Alten sagten:\n»Was krumm ist, wird heil gemacht«,\nSo sind das keine leeren Worte gewesen!\n_\n	Zum wahrhaft Heilen kehrt man sich hin.
§53\n\n_\nSo will es die Natur.\n	Rede selten nur –
§53\n\nRede selten nur –\n_\n	So will es die Natur.
§54\n\n_\nEin Wirbelwind währt keinen Morgen;\nEin Regenguß währt keinen Tag.\nWer dieses macht, sind Himmel und Erde.\nWenn schon Himmel und Erde nicht vermögen,\nDauer zu geben,\nUm wieviel weniger ist sie dem Menschen gegeben!\n	Wahrlich:
§54\n\nWahrlich:\n_\nEin Regenguß währt keinen Tag.\nWer dieses macht, sind Himmel und Erde.\nWenn schon Himmel und Erde nicht vermögen,\nDauer zu geben,\nUm wieviel weniger ist sie dem Menschen gegeben!\n	Ein Wirbelwind währt keinen Morgen;
§54\n\nWahrlich:\nEin Wirbelwind währt keinen Morgen;\n_\nWer dieses macht, sind Himmel und Erde.\nWenn schon Himmel und Erde nicht vermögen,\nDauer zu geben,\nUm wieviel weniger ist sie dem Menschen gegeben!\n	Ein Regenguß währt keinen Tag.
§54\n\nWahrlich:\nEin Wirbelwind währt keinen Morgen;\nEin Regenguß währt keinen Tag.\n_\nWenn schon Himmel und Erde nicht vermögen,\nDauer zu geben,\nUm wieviel weniger ist sie dem Menschen gegeben!\n	Wer dieses macht, sind Himmel und Erde.
§54\n\nWahrlich:\nEin Wirbelwind währt keinen Morgen;\nEin Regenguß währt keinen Tag.\nWer dieses macht, sind Himmel und Erde.\n_\nDauer zu geben,\nUm wieviel weniger ist sie dem Menschen gegeben!\n	Wenn schon Himmel und Erde nicht vermögen,
§54\n\nWahrlich:\nEin Wirbelwind währt keinen Morgen;\nEin Regenguß währt keinen Tag.\nWer dieses macht, sind Himmel und Erde.\nWenn schon Himmel und Erde nicht vermögen,\n_\nUm wieviel weniger ist sie dem Menschen gegeben!\n	Dauer zu geben,
§54\n\nWahrlich:\nEin Wirbelwind währt keinen Morgen;\nEin Regenguß währt keinen Tag.\nWer dieses macht, sind Himmel und Erde.\nWenn schon Himmel und Erde nicht vermögen,\nDauer zu geben,\n_\n	Um wieviel weniger ist sie dem Menschen gegeben!
§55\n\n_\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wahrlich:
§55\n\nWahrlich:\n_\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wer dem *Wege* folgt in seinen Geschäften,
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\n_\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wird eins mit dem *Wege*;
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\n_\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wer tugendhaft, wird eins mit der Tugend;
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\n_\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wer sie verliert, wird eins mit dem Verlust.
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\n_\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wenn einer eins wird mit dem *Wege*,
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\n_\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Freut sich desgleichen der *Weg*,
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\n_\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Ihn zu gewinnen;
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\n_\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wenn einer eins wird mit der Tugend,
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\n_\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Freut sich desgleichen die Tugend,
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\n_\nWenn einer eins wird mit dem Verlust,\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Ihn zu gewinnen;
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\n_\nFreut sich desgleichen der Verlust,\nIhn zu gewinnen.\n	Wenn einer eins wird mit dem Verlust,
§55\n\nWahrlich:\nWer dem *Wege* folgt in seinen Geschäften,\nWird eins mit dem *Wege*;\nWer tugendhaft, wird eins mit der Tugend;\nWer sie verliert, wird eins mit dem Verlust.\nWenn einer eins wird mit dem *Wege*,\nFreut sich desgleichen der *Weg*,\nIhn zu gewinnen;\nWenn einer eins wird mit der Tugend,\nFreut sich desgleichen die Tugend,\nIhn zu gewinnen;\nWenn einer eins wird mit dem Verlust,\n_\nIhn zu gewinnen.\n	Freut sich desgleichen der Verlust,
